Name, Time

 swe-1717,00:01:10  

 swe-1717,00:01:53  

 swe-1717,00:06:27  

 swe-1717,00:06:50  

 swe-1717,00:07:18  

 swe-1717,00:07:43  

 swe-1717,00:08:25  

 swe-1717,00:10:45  

 swe-1717,00:11:20  

 swe-1717,00:13:30  

 swe-1717,00:14:34  

 tvo-2801,00:21:47  

 tvo-2801,00:22:34  

 swe-1717,00:22:56  

 tvo-2801,00:23:55  

 se-123,00:24:15  

 tvo-2801,00:24:35  

 hw-1311,00:28:54  

 swe-1717,11:37:03  

 swe-1717,11:59:36  

 swe-1717,12:02:24  

 swe-1717,19:31:14  

 swe-1717,19:37:08  

 swe-1717,19:42:19  

 swe-1717,19:52:50  

 swe-1717,19:54:36  

 swe-1717,19:55:29  

 swe-1717,19:58:17  

 swe-1717,19:58:53  

 swe-1717,20:00:27  

 swe-1717,20:02:11  

 swe-1717,20:12:47  

 swe-1717,20:13:45  

 swe-1717,20:15:45  

 swe-1717,20:16:11  

 swe-1717,20:16:58  

 se-123,21:04:38  

 se-123,21:04:47  

 se-123,21:07:25  

 se-123,21:09:22  
